time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.09850020822e-08,1.54211065181e-06,10.0047903593,0.000957865762881,6.28305712259,0.0,9.37762419902e-06,0.000116923089045,0.159668979872,0.0366806624271,-0.00679424366447,0.0,455.11384567673156,454.5698615367564,454.56832684699543,457.49772529457664
0.12000000000000001,5.3752464107e-06,3.9737912267e-05,10.0194556083,0.00270840276022,6.28245760137,0.0,0.000222609007502,0.00138653262915,0.329137998956,0.00665612312637,-0.0173089102365,0.0,459.0051474346501,458.1702057437401,459.51529945645655,457.12961561492966
0.18,3.69529058971e-05,0.000178141654128,10.0412668799,0.00343366410415,6.28114035171,0.0,0.000942562103058,0.00328333571239,0.397882147585,0.0211903349191,-0.0334015692609,0.0,427.7525615990634,426.380078903397,426.30544108522656,427.5452479075047
0.23999999999999996,0.00015439434181,0.000468882525409,10.0729429702,0.00495804068774,6.2795682546,0.0,0.00319298683481,0.00658471387304,0.657872792181,0.0327279049825,-0.0147137876888,0.0,483.7776010387398,485.1823285269781,485.528777702607,486.3935293272684
0.3,0.000423900421331,0.000974702344295,10.1155392617,0.00707335753644,6.27920099692,0.0,0.00585037581214,0.010485306521,0.761938066212,0.0398824168175,0.00709978755413,0.0,437.53443250192817,439.34657622800387,438.5729773101716,439.16727926160684
0.36000000000000004,0.000862347135963,0.00177386035477,10.1662315954,0.00932090662207,6.28029528213,0.0,0.00867220453309,0.0164122077151,0.927684488791,0.0321104981584,0.0343332592876,0.0,456.0432204047994,458.21301488536466,458.990918733096,458.3743985754495
0.4200000000000001,0.00144095266003,0.00298329711238,10.2274639474,0.0110488821112,6.28235869493,0.0,0.0103778139432,0.0241114382685,1.11322988386,0.0211840371466,0.0345038553736,0.0,464.25690122340194,464.270722640715,464.45070912641125,463.5932607229774
0.48000000000000015,0.00207550344451,0.00472953304039,10.3031359275,0.0124145309831,0.00104661517703,0.0,0.0105142333551,0.0342656876687,1.40885114634,0.02574100961,0.0236783251457,0.0,496.21858988800966,495.42358227002035,496.6968598928846,497.0308845313575
0.5400000000000001,0.00268127470217,0.00702895589906,10.3891856931,0.0138220098996,0.00212459075245,0.0,0.00955653641494,0.0425210577641,1.45940884649,0.0184494448282,0.00296899300289,0.0,423.17609615404,421.3898072711552,423.90618412288757,423.27928884721865
0.6000000000000002,0.00320258859641,0.00991838865805,10.4831302223,0.0155758136592,0.00248374495266,0.0,0.00778864355999,0.0539658864202,1.67178662191,0.0449405563215,0.0114242207199,0.0,472.33329883519156,472.98476797909063,472.9005832833983,474.9367572015282
0.6600000000000003,0.00361389393073,0.0135017330825,10.5872656384,0.0178836559826,0.00298976354665,0.0,0.00585800814583,0.0657463751254,1.79919699643,0.0205623478358,0.00165744112214,0.0,447.9155695013544,447.12053004147185,449.99833600174577,448.02141789011597
0.7200000000000003,0.00389612595391,0.0178555792114,10.700119241,0.019493844106,0.00396012221221,0.0,0.00348030518692,0.0795377221502,1.96232049987,0.0371031944494,0.0356011308026,0.0,458.7125613102791,461.399962651919,458.54634465946873,459.8585079646102
0.7800000000000004,0.00399869324222,0.0231131459008,10.8245862149,0.0214627651704,0.0061135178175,0.0,-0.00031773409794,0.0959608638504,2.18617113206,0.0224529306903,0.03646122676,0.0,477.9966709766719,478.0626817704961,478.97165427536265,477.8565650903026
0.8400000000000004,0.00386157601318,0.0292633444411,10.9561783014,0.0228609113763,0.00849032916227,0.0,-0.00445703881806,0.109167508872,2.20020002437,0.0249493168796,0.0452699551,0.0,414.04609282447626,414.8212229103155,412.62390448407973,412.84431757236706
0.9000000000000005,0.00340809439283,0.0362919031056,11.0912196033,0.0241130978626,0.0111383054024,0.0,-0.0109312557767,0.125254842278,2.30097242265,0.0111170893378,0.0417567522915,0.0,441.2432590489279,440.954261932596,443.268723778718,442.13060501876805
0.9600000000000005,0.00249044596353,0.0443534547236,11.2341587064,0.0248872922536,0.0138193216978,0.0,-0.0199421908408,0.143535304265,2.46332231869,0.0162554513596,0.0499730915352,0.0,462.19599550314126,462.8441162596797,459.92792494057744,460.3345694738759
1.0200000000000005,0.000976034570356,0.0535200509793,11.3864027242,0.0263209575929,0.0168672769639,0.0,-0.0308633146813,0.162144033606,2.6111427095,0.0359414486395,0.0524018438387,0.0,458.0293665715051,458.2240329707838,456.3710136173015,457.9396298730146
1.0800000000000005,-0.00123733193807,0.0638044494686,11.5461273335,0.0299601582792,0.0196745295349,0.0,-0.0432191911291,0.180981489176,2.71275876388,0.0877211466326,0.0321430176487,0.0,445.2518076197965,443.59258047476555,441.59398856781536,445.846812265443
1.1400000000000006,-0.00418948956308,0.0752172174679,11.709149639,0.0350168738848,0.0213796553321,0.0,-0.0553475137843,0.199900519605,2.72127682888,0.0763141809104,0.0196764714706,0.0,414.37542858676886,413.27834849310335,415.4511463999528,414.4560979108152
1.2000000000000006,-0.007999432866,0.0880229358222,11.8773989502,0.0397580187182,0.0224412906812,0.0,-0.0717674048002,0.227462456752,2.88660470741,0.0839410485863,0.0134008883115,0.0,464.7595521967983,464.2673489061144,463.7319665473002,464.3353593330834
1.2600000000000007,-0.0127829606728,0.102529966952,12.0540568416,0.0447713002071,0.0229899423551,0.0,-0.0877491503831,0.256616136149,3.0016677502,0.0827710788771,-0.0011285734793,0.0,451.1298787175827,449.95505242290295,449.15533409887263,449.06605810845224
